"date","positive","death","positiveIncrease","deathIncrease"
2020-01-22,1,0,1,0
2020-01-23,1,0,0,0
2020-01-24,1,0,0,0
2020-01-25,1,0,0,0
2020-01-26,1,0,0,0
2020-01-27,1,0,0,0
2020-01-28,1,0,0,0
2020-01-29,1,0,0,0
2020-01-30,1,0,0,0
2020-01-31,1,0,0,0
2020-02-01,1,0,0,0
2020-02-02,1,0,0,0
2020-02-03,1,0,0,0
2020-02-04,1,0,0,0
2020-02-05,1,0,0,0
2020-02-06,1,0,0,0
2020-02-07,1,0,0,0
2020-02-08,1,0,0,0
2020-02-09,1,0,0,0
2020-02-10,1,0,0,0
2020-02-11,1,0,0,0
2020-02-12,1,0,0,0
2020-02-13,1,0,0,0
2020-02-14,1,0,0,0
2020-02-15,1,0,0,0
2020-02-16,1,0,0,0
2020-02-17,1,0,0,0
2020-02-18,1,0,0,0
2020-02-19,1,0,0,0
2020-02-20,1,0,0,0
2020-02-21,1,0,0,0
2020-02-22,1,0,0,0
2020-02-23,1,0,0,0
2020-02-24,1,0,0,0
2020-02-25,1,0,0,0
2020-02-26,1,0,0,0
2020-02-27,1,0,0,0
2020-02-28,1,0,0,0
2020-02-29,7,1,6,1
2020-03-01,11,1,4,0
2020-03-02,18,6,7,5
2020-03-03,27,7,9,1
2020-03-04,39,10,12,3
2020-03-05,70,11,31,1
2020-03-06,78,13,8,2
2020-03-07,102,16,24,3
2020-03-08,122,18,20,2
2020-03-09,122,19,0,1
2020-03-10,162,23,40,4
2020-03-11,282,24,120,1
2020-03-12,406,31,124,7
2020-03-13,503,37,97,6
2020-03-14,603,39,100,2
2020-03-15,603,40,0,1
2020-03-16,779,48,176,8
2020-03-17,955,55,176,7
2020-03-18,1022,67,67,12
2020-03-19,1223,73,201,6
2020-03-20,1394,83,171,10
2020-03-21,1647,94,253,11
2020-03-22,1833,97,186,3
2020-03-23,2076,109,243,12
2020-03-24,2216,116,140,7
2020-03-25,2540,133,324,17
2020-03-26,3138,150,598,17
2020-03-27,3410,157,272,7
2020-03-28,4030,188,620,31
2020-03-29,4340,198,310,10
2020-03-30,4649,205,309,7
2020-03-31,5158,225,509,20
2020-04-01,5305,234,147,9
2020-04-02,6045,271,740,37
2020-04-03,6345,291,300,20
2020-04-04,6764,315,419,24
2020-04-05,7292,336,528,21
2020-04-06,7663,381,371,45
2020-04-07,8015,400,352,19
2020-04-08,8361,426,346,26
2020-04-09,8801,456,440,30
2020-04-10,9211,483,410,27
2020-04-11,9586,495,375,12
2020-04-12,9877,506,291,11
2020-04-13,10016,513,139,7
2020-04-14,10315,530,299,17
2020-04-15,10559,552,244,22
2020-04-16,10785,579,226,27
2020-04-17,11183,603,398,24
2020-04-18,11332,613,149,10
2020-04-19,11819,636,487,23
2020-04-20,11955,643,136,7
2020-04-21,12233,664,278,21
2020-04-22,12437,686,204,22
2020-04-23,12619,711,182,25
2020-04-24,12877,722,258,11
2020-04-25,13182,737,305,15
2020-04-26,13398,749,216,12
2020-04-27,13583,764,185,15
2020-04-28,13763,786,180,22
2020-04-29,13994,801,231,15
2020-04-30,14267,814,273,13
2020-05-01,14560,824,293,10
2020-05-02,14903,830,343,6
2020-05-03,15122,834,219,4
2020-05-04,15410,841,288,7
2020-05-05,15557,862,147,21
2020-05-06,15844,870,287,8
2020-05-07,16178,891,334,21
2020-05-08,16319,905,141,14
2020-05-09,16618,921,299,16
2020-05-10,16851,931,233,10
2020-05-11,17084,945,233,14
2020-05-12,17273,962,189,17
2020-05-13,17439,974,166,12
2020-05-14,17663,983,224,9
2020-05-15,17826,991,163,8
2020-05-16,18176,999,350,8
2020-05-17,18332,1001,156,2
2020-05-18,18557,1002,225,1
2020-05-19,18759,1031,202,29
2020-05-20,18923,1037,164,6
2020-05-21,19051,1044,128,7
2020-05-22,19206,1050,155,6
2020-05-23,19206,1050,0,0
2020-05-24,19756,1061,550,11
2020-05-25,20003,1070,247,9
2020-05-26,20133,1078,130,8
2020-05-27,20355,1095,222,17
2020-05-28,20711,1106,356,11
2020-05-29,21013,1111,302,5
2020-05-30,21288,1118,275,7
2020-05-31,21634,1118,346,0
2020-06-01,21902,1123,268,5
2020-06-02,22130,1129,228,6
2020-06-03,22456,1135,326,6
2020-06-04,22692,1138,236,3
2020-06-05,22974,1149,282,11
2020-06-06,23417,1153,443,4
2020-06-07,23697,1157,280,4
