"date","positive","death","positiveIncrease","deathIncrease"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,1,0,1,0
2020-03-08,1,0,0,0
2020-03-09,1,0,0,0
2020-03-10,2,0,1,0
2020-03-11,3,0,1,0
2020-03-12,3,0,0,0
2020-03-13,7,0,4,0
2020-03-14,8,0,1,0
2020-03-15,18,0,10,0
2020-03-16,28,0,10,0
2020-03-17,39,0,11,0
2020-03-18,47,0,8,0
2020-03-19,62,0,15,0
2020-03-20,95,0,33,0
2020-03-21,118,0,23,0
2020-03-22,162,1,44,1
2020-03-23,244,1,82,0
2020-03-24,285,1,41,0
2020-03-25,326,1,41,0
2020-03-26,382,1,56,0
2020-03-27,458,1,76,0
2020-03-28,588,1,130,0
2020-03-29,706,2,118,1
2020-03-30,779,4,73,2
2020-03-31,866,5,87,1
2020-04-01,866,5,0,0
2020-04-02,1064,7,198,2
2020-04-03,1248,7,184,0
2020-04-04,1428,8,180,1
2020-04-05,1599,8,171,0
2020-04-06,1678,13,79,5
2020-04-07,1739,13,61,0
2020-04-08,1848,13,109,0
2020-04-09,1856,13,8,0
2020-04-10,2103,13,247,0
2020-04-11,2207,13,104,0
2020-04-12,2299,13,92,0
